CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.04.06;Resultado de Equivalência Patrimonial;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;22980.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.06;Resultado Financeiro;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.06;Resultado Financeiro;8447.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.06.01;Receitas Financeiras;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.06.01;Receitas Financeiras;19761.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.06.02;Despesas Financeiras;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.06.02;Despesas Financeiras;-11314.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;31427.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-7830.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.08.01;Corrente;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.08.01;Corrente;-12667.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.08.02;Diferido;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.08.02;Diferido;4837.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.09;Resultado Líquido das Operações Continuadas;0.00
